iter	Logloss
0	0.5237115638
1	0.3937771809
2	0.3157534224
3	0.2257193818
4	0.1696797853
5	0.1319254542
6	0.1037193082
7	0.08047195408
8	0.06388518021
9	0.05174824962
10	0.04251859297
11	0.03907166541
12	0.03012600004
13	0.02621535313
14	0.02314616617
15	0.02004879174
16	0.01799645596
17	0.01637638641
18	0.01498450899
19	0.01406561416
20	0.01293732945
21	0.01213079561
22	0.01137656902
23	0.01083535275
24	0.01049942316
25	0.009964399297
26	0.009742611502
27	0.009342388813
28	0.008489604868
29	0.008182578869
30	0.007929206318
31	0.007728249268
32	0.007480649026
33	0.007375109357
34	0.007251227841
35	0.007047913127
36	0.00687521249
37	0.006601532438
38	0.006456242679
39	0.006324329477
40	0.006235150364
41	0.006139916844
42	0.006009591068
43	0.005933968951
44	0.005854706948
45	0.005803590405
46	0.005701355387
47	0.00561763068
48	0.005522597506
49	0.005491373445
50	0.005420542735
51	0.005379352851
52	0.005312420555
53	0.005191999321
54	0.0050745655
55	0.004992075065
56	0.004934396554
57	0.004888030349
58	0.004866139725
59	0.004824310234
60	0.004747594029
61	0.004708190841
62	0.004598376069
63	0.004598365043
64	0.004563458238
65	0.004528725012
66	0.004474070215
67	0.00446780407
68	0.004397606865
69	0.00437854428
70	0.004337279096
71	0.004337267918
72	0.004337251089
73	0.004300003619
74	0.004241606896
75	0.004220164187
76	0.004168619328
77	0.004146371077
78	0.004136646968
79	0.004027883061
80	0.003905304201
81	0.003901993798
82	0.00381601294
83	0.003812380332
84	0.003766164383
85	0.003719979119
86	0.003672106497
87	0.00366849891
88	0.003631120578
89	0.003597433355
90	0.003597422972
91	0.003597416143
92	0.003484631738
93	0.00343473339
94	0.003363591636
95	0.003307840432
96	0.003262770514
97	0.003262770514
98	0.003227043796
99	0.003168282175
100	0.003168262707
101	0.003145786905
102	0.003094469969
103	0.003057791601
104	0.003009014616
105	0.002954992039
106	0.002954986856
107	0.00290306232
108	0.00290306232
109	0.002889531563
110	0.002812182653
111	0.00277192976
112	0.002769135617
113	0.002726344184
114	0.002706806296
115	0.002658263716
116	0.00262684288
117	0.002593223328
118	0.002561950318
119	0.002538054103
120	0.002508261925
121	0.002487090275
122	0.002487090275
123	0.002458733387
124	0.002427362556
125	0.002427362556
126	0.002393586995
127	0.002362101192
128	0.002344882819
129	0.00228812884
130	0.002261341178
131	0.002261341178
132	0.002261336856
133	0.002246057761
134	0.002246040494
135	0.002246036667
136	0.002221600983
137	0.002214967486
138	0.002193591908
139	0.002193584571
140	0.002169741392
141	0.002141582485
142	0.002141568962
143	0.002141560545
144	0.002141560545
145	0.002141560545
146	0.002113208601
147	0.002078278073
148	0.002078278073
149	0.002052793007
150	0.002028983056
151	0.002028978987
152	0.002002774843
153	0.001976664607
154	0.001976653483
155	0.001968268827
156	0.001968268827
157	0.001937246391
